Country,Continent(detailed),Continent
Afghanistan,Asia & Oceania,Asia & Oceania
Albania,Europe,Europe
Algeria,Africa,Africa
American Samoa,Asia & Oceania,Asia & Oceania
Angola,Africa,Africa
Antarctica,Central & South America,America
Antigua and Barbuda,Central & South America,America
Argentina,Central & South America,America
Armenia,Eurasia,Europe
Aruba,Central & South America,America
Australia,Asia & Oceania,Asia & Oceania
Austria,Europe,Europe
Azerbaijan,Eurasia,Europe
Bahrain,Middle East,Middle East
Bangladesh,Asia & Oceania,Asia & Oceania
Barbados,Central & South America,America
Belarus,Eurasia,Europe
Belgium,Europe,Europe
Belize,Central & South America,America
Benin,Africa,Africa
Bermuda,North America,America
Bhutan,Asia & Oceania,Asia & Oceania
Bolivia,Central & South America,America
Bosnia and Herzegovina,Europe,Europe
Botswana,Africa,Africa
Brazil,Central & South America,America
British Virgin Islands,Central & South America,America
Brunei,Asia & Oceania,Asia & Oceania
Bulgaria,Europe,Europe
Burkina Faso,Africa,Africa
Burma,Asia & Oceania,Asia & Oceania
Burundi,Africa,Africa
CÃ´te dâ€™Ivoire,#N/A,#N/A
Cabo Verde,Africa,Africa
Cambodia,Asia & Oceania,Asia & Oceania
Cameroon,Africa,Africa
Canada,North America,America
Cayman Islands,Central & South America,America
Central African Republic,Africa,Africa
Chad,Africa,Africa
Chile,Central & South America,America
China,Asia & Oceania,Asia & Oceania
Colombia,Central & South America,America
Comoros,Africa,Africa
Congo-Brazzaville,Africa,Africa
Congo-Kinshasa,Africa,Africa
Cook Islands,Asia & Oceania,Asia & Oceania
Costa Rica,Central & South America,America
Croatia,Europe,Europe
Cuba,Central & South America,America
Cyprus,Europe,Europe
Czechia,Europe,Europe
Denmark,Europe,Europe
Djibouti,Africa,Africa
Dominica,Central & South America,America
Dominican Republic,Central & South America,America
Ecuador,Central & South America,America
Egypt,Africa,Africa
El Salvador,Central & South America,America
Equatorial Guinea,Africa,Africa
Eritrea,Africa,Africa
Estonia,Europe,Europe
Eswatini,Africa,Africa
Ethiopia,Africa,Africa
Falkland Islands,Central & South America,America
Faroe Islands,Europe,Europe
Fiji,Asia & Oceania,Asia & Oceania
Finland,Europe,Europe
Former Czechoslovakia,Europe,Europe
Former Serbia and Montenegro,Europe,Europe
Former U.S.S.R.,Eurasia,Europe
Former Yugoslavia,Europe,Europe
France,Europe,Europe
French Guiana,Central & South America,America
French Polynesia,Asia & Oceania,Asia & Oceania
Gabon,Africa,Africa
"Gambia, The",Africa,Africa
Georgia,Eurasia,Europe
Germany,Europe,Europe
"Germany, East",Europe,Europe
"Germany, West",Europe,Europe
Ghana,Africa,Africa
Gibraltar,Europe,Europe
Greece,Europe,Europe
Greenland,North America,America
Grenada,Central & South America,America
Guadeloupe,Central & South America,America
Guam,Asia & Oceania,Asia & Oceania
Guatemala,Central & South America,America
Guinea,Africa,Africa
Guinea-Bissau,Africa,Africa
Guyana,Central & South America,America
Haiti,Central & South America,America
Hawaiian Trade Zone,Asia & Oceania,Asia & Oceania
Honduras,Central & South America,America
Hong Kong,Asia & Oceania,Asia & Oceania
Hungary,Europe,Europe
Iceland,Europe,Europe
India,Asia & Oceania,Asia & Oceania
Indonesia,Asia & Oceania,Asia & Oceania
Iran,Middle East,Middle East
Iraq,Middle East,Middle East
Ireland,Europe,Europe
Israel,Middle East,Middle East
Italy,Europe,Europe
Jamaica,Central & South America,America
Japan,Asia & Oceania,Asia & Oceania
Jordan,Middle East,Middle East
Kazakhstan,Eurasia,Europe
Kenya,Africa,Africa
Kiribati,Asia & Oceania,Asia & Oceania
Kosovo,Europe,Europe
Kuwait,Middle East,Middle East
Kyrgyzstan,Eurasia,Europe
Laos,Asia & Oceania,Asia & Oceania
Latvia,Europe,Europe
Lebanon,Middle East,Middle East
Lesotho,Africa,Africa
Liberia,Africa,Africa
Libya,Africa,Africa
Lithuania,Europe,Europe
Luxembourg,Europe,Europe
Macau,Asia & Oceania,Asia & Oceania
Madagascar,Africa,Africa
Malawi,Africa,Africa
Malaysia,Asia & Oceania,Asia & Oceania
Maldives,Asia & Oceania,Asia & Oceania
Mali,Africa,Africa
Malta,Europe,Europe
Martinique,Central & South America,America
Mauritania,Africa,Africa
Mauritius,Africa,Africa
Mexico,North America,America
Moldova,Eurasia,Europe
Mongolia,Asia & Oceania,Asia & Oceania
Montenegro,Europe,Europe
Montserrat,Central & South America,America
Morocco,Africa,Africa
Mozambique,Africa,Africa
Namibia,Africa,Africa
Nauru,Asia & Oceania,Asia & Oceania
Nepal,Asia & Oceania,Asia & Oceania
Netherlands,Europe,Europe
Netherlands Antilles,Central & South America,America
New Caledonia,Asia & Oceania,Asia & Oceania
New Zealand,Asia & Oceania,Asia & Oceania
Nicaragua,Central & South America,America
Niger,Africa,Africa
Nigeria,Africa,Africa
Niue,Asia & Oceania,Asia & Oceania
North Korea,Asia & Oceania,Asia & Oceania
North Macedonia,Europe,Europe
Northern Mariana Islands,Asia & Oceania,Asia & Oceania
Norway,Europe,Europe
Oman,Middle East,Middle East
Pakistan,Asia & Oceania,Asia & Oceania
Palestinian Territories,Middle East,Middle East
Panama,Central & South America,America
Papua New Guinea,Asia & Oceania,Asia & Oceania
Paraguay,Central & South America,America
Peru,Central & South America,America
Philippines,Asia & Oceania,Asia & Oceania
Poland,Europe,Europe
Portugal,Europe,Europe
Puerto Rico,Central & South America,America
Qatar,Middle East,Middle East
Reunion,Africa,Africa
Romania,Europe,Europe
Russia,Eurasia,Europe
Rwanda,Africa,Africa
Saint Helena,Africa,Africa
Saint Kitts and Nevis,Central & South America,America
Saint Lucia,Central & South America,America
Saint Pierre and Miquelon,North America,America
Saint Vincent/Grenadines,Central & South America,America
Samoa,Asia & Oceania,Asia & Oceania
Sao Tome and Principe,Africa,Africa
Saudi Arabia,Middle East,Middle East
Senegal,Africa,Africa
Serbia,Europe,Europe
Seychelles,Africa,Africa
Sierra Leone,Africa,Africa
Singapore,Asia & Oceania,Asia & Oceania
Slovakia,Europe,Europe
Slovenia,Europe,Europe
Solomon Islands,Asia & Oceania,Asia & Oceania
Somalia,Africa,Africa
South Africa,Africa,Africa
South Korea,Asia & Oceania,Asia & Oceania
South Sudan,Africa,Africa
Spain,Europe,Europe
Sri Lanka,Asia & Oceania,Asia & Oceania
Sudan,Africa,Africa
Suriname,Central & South America,America
Sweden,Europe,Europe
Switzerland,Europe,Europe
Syria,Middle East,Middle East
Taiwan,Asia & Oceania,Asia & Oceania
Tajikistan,Eurasia,Europe
Tanzania,Africa,Africa
Thailand,Asia & Oceania,Asia & Oceania
The Bahamas,Central & South America,America
Timor-Leste,Asia & Oceania,Asia & Oceania
Togo,Africa,Africa
Tonga,Asia & Oceania,Asia & Oceania
Trinidad and Tobago,Central & South America,America
Tunisia,Africa,Africa
Turkiye,Europe,Europe
Turkmenistan,Eurasia,Europe
Turks and Caicos Islands,Central & South America,America
U.S. Pacific Islands,Asia & Oceania,Asia & Oceania
U.S. Virgin Islands,Central & South America,America
Uganda,Africa,Africa
Ukraine,Eurasia,Europe
United Arab Emirates,Middle East,Middle East
United Kingdom,Europe,Europe
United States,North America,America
Uruguay,Central & South America,America
Uzbekistan,Eurasia,Europe
Vanuatu,Asia & Oceania,Asia & Oceania
Venezuela,Central & South America,America
Vietnam,Asia & Oceania,Asia & Oceania
Wake Island,Asia & Oceania,Asia & Oceania
Western Sahara,Africa,Africa
Yemen,Middle East,Middle East
Zambia,Africa,Africa
Zimbabwe,Africa,Africa
Tuvalu,Asia & Oceania,Asia & Oceania
Micronesia,Asia & Oceania,Asia & Oceania
