,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,77.78,70.00,77.78,70.00,72.73,72.73,63.64,61.54,70.00,72.73,72.73,70.00,71.43,71.43,71.43,66.67,66.67,60.00,60.00,60.00,60.00,100.00,85.71,66.67,66.67,66.67,75.00,77.78,71.43,80.00,80.00,75.00,87.50,81.82,83.33,90.91,84.62,84.62,83.33,81.82,87.50,87.50
Albania,80.56,81.08,83.78,86.49,86.49,86.84,89.47,93.02,94.87,95.00,90.32,94.59,96.97,94.29,97.37,95.45,96.61,98.04,98.00,98.11,97.83,97.22,94.59,98.08,98.18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Algeria,3.03,5.19,5.62,2.08,4.76,5.17,1.64,3.70,1.41,2.10,0.66,1.84,1.16,1.64,1.04,1.10,0.52,0.00,0.94,0.86,0.00,0.00,0.00,1.06,0.68,1.59,0.60,0.57,0.78,0.83,0.46,1.03,1.12,0.53,0.50,0.31,0.45,0.84,1.11,1.04,0.96,1.16
American Samoa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Angola,55.56,55.56,60.00,60.00,60.00,60.00,63.64,63.64,63.64,63.64,58.33,58.33,61.54,64.29,64.29,64.29,64.29,64.29,66.67,69.23,64.29,62.50,64.71,63.16,77.27,81.48,81.25,78.13,75.61,67.39,69.81,72.73,61.67,59.49,54.35,54.84,57.84,72.90,78.13,71.90,73.17,71.86
Antarctica,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Argentina,41.26,40.30,46.57,45.02,47.40,47.30,44.30,43.91,30.12,26.64,39.13,32.85,35.38,40.47,45.15,41.47,34.38,40.29,37.45,28.31,34.12,42.77,44.78,39.33,32.53,34.86,35.97,29.81,27.85,30.02,28.40,26.04,24.05,26.38,25.89,24.71,22.33,24.50,25.09,26.32,27.34,25.85
Armenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.88,68.85,63.64,38.00,27.12,24.56,25.86,21.43,21.82,17.86,30.77,38.46,33.90,30.00,32.14,32.73,32.73,37.04,40.32,35.21,30.26,29.73,27.03,29.73,33.33,31.08,31.08,32.88,25.33,31.08
Aruba,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,12.50,22.22,22.22,22.22,11.11,11.11,11.11,11.11,12.50,11.11
Australia,14.77,15.05,14.43,12.24,11.54,12.61,12.82,11.38,10.69,10.79,10.20,10.81,10.60,10.97,10.69,9.76,10.06,10.34,9.14,9.38,8.59,8.49,8.37,8.88,8.48,9.26,9.59,9.13,8.70,7.69,9.40,11.20,11.54,14.78,14.94,14.35,15.85,16.40,17.20,21.60,25.50,29.15
Austria,70.73,73.17,73.17,73.17,70.73,72.09,72.09,66.67,75.00,73.47,66.67,65.31,72.00,74.51,72.55,72.22,67.92,69.09,70.91,72.41,74.14,71.19,71.19,62.50,65.57,65.08,68.33,70.49,71.43,73.44,66.67,66.67,74.63,79.03,81.67,76.67,79.03,75.76,77.78,77.46,81.16,78.79
Azerbaijan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,13.04,10.71,9.09,9.09,10.83,11.24,8.57,8.57,7.10,11.11,11.76,13.04,15.00,11.11,11.33,10.89,12.57,19.54,13.27,8.26,7.41,6.38,7.89,9.48,8.70,8.33,7.63,5.74,6.02
Bahrain,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,23.08,16.67,20.00,19.44,21.95,15.22,10.20,8.93,10.77,12.86,11.84,9.52,8.89,6.45,8.00,5.77,6.54,6.54,7.56,5.80,6.04,6.25,6.08,6.08,5.17,5.14,4.76,2.78,3.13,1.41,2.06,2.38,1.96,2.20,1.52,1.43,1.84,1.88,1.88,1.39,1.73,1.74
Barbados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Belarus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.30,0.33,0.68,1.02,0.93,0.93,1.27,2.44,2.17,2.63,3.55,2.95
Belgium,1.19,1.47,1.26,1.01,1.19,1.12,1.46,1.50,1.45,1.41,1.49,1.47,1.79,1.66,1.76,2.02,1.82,1.64,1.81,2.01,2.28,2.83,2.72,2.53,2.99,3.47,4.76,5.45,7.01,7.82,8.50,10.88,15.00,16.05,18.84,23.53,19.51,20.48,25.00,23.33,27.91,23.96
Belize,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,60.00,100.00,60.00,75.00,80.00,66.67,66.67,50.00,50.00,55.56,33.33,33.33
Benin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bermuda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bhutan,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Bolivia,68.75,70.59,75.00,70.59,80.00,80.00,75.00,75.00,68.42,65.00,59.09,60.87,60.87,58.33,51.85,44.83,48.39,48.48,42.86,48.65,52.63,56.41,55.00,47.62,50.00,42.55,43.14,42.86,42.86,40.68,34.38,34.78,32.88,34.21,29.63,31.03,21.59,26.09,30.85,37.00,36.73,38.68
Bosnia and Herzegovina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.97,71.88,82.93,83.72,70.83,54.12,48.39,53.92,50.00,50.00,50.00,41.28,48.36,48.76,45.31,35.40,33.80,41.06,47.88,30.07,31.11,42.86,38.06,36.67,33.73,24.05,35.14,38.65,30.82,41.86
Botswana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,94.27,93.77,94.67,95.39,94.33,94.24,92.42,93.55,94.68,94.28,94.83,95.07,94.68,95.43,95.72,94.35,93.98,93.11,93.05,90.63,90.38,84.83,86.22,87.74,86.61,87.83,87.38,88.81,85.05,89.54,85.52,87.86,83.36,77.84,74.40,75.35,81.47,80.24,83.33,83.20,85.02,75.87
British Virgin Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brunei,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bulgaria,11.38,10.23,7.89,8.19,7.58,5.61,5.85,6.02,6.10,6.32,4.76,6.59,5.88,5.29,4.11,5.85,7.09,6.80,7.93,7.82,6.98,4.18,5.34,7.50,8.16,10.41,9.95,7.09,6.92,9.32,13.35,8.32,11.76,16.67,16.48,19.46,17.07,14.84,20.10,16.03,17.58,20.10
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,33.33,0.00,33.33,0.00,0.00,0.00,0.00,20.00,0.00,0.00,16.67,16.67,16.67,16.67,0.00,11.11,10.00,9.09,7.14,12.50,11.76,12.50,11.76,12.50,11.76
Burma,57.14,64.29,60.00,62.50,55.56,50.00,47.62,45.45,42.86,45.83,50.00,46.15,51.72,51.52,45.71,41.03,42.11,39.53,23.08,22.73,38.78,40.00,44.00,41.51,44.44,51.72,55.00,58.06,62.50,76.47,68.92,77.08,73.83,73.77,64.29,60.51,56.57,54.46,57.02,45.83,47.83,41.96
