,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,0.9,1,0.9,1,1.1,1.1,1.1,1.3,1,1.1,1.1,1,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.9,0.9,0.9,0.8,0.9,0.7,1,1,0.8,0.8,1.1,1.2,1.1,1.3,1.3,1.2,1.1,0.8,0.8
Albania,3.6,3.7,3.7,3.7,3.7,3.8,3.8,4.3,3.9,4,3.1,3.7,3.3,3.5,3.8,4.4,5.9,5.1,5,5.3,4.6,3.6,3.7,5.2,5.5,5.3,5,2.8,3.8,5.2,7.5,4.1,4.7,6.9,4.7,5.8,7.7,4.5,8.5,5.2,5.3,9
Algeria,6.6,7.7,8.9,9.6,10.5,11.6,12.2,13.5,14.2,14.3,15.1,16.3,17.2,18.3,19.2,18.2,19.1,20,21.2,23.2,24,25,26,28.3,29.2,31.5,33.2,35.2,38.3,36.3,43.2,48.5,53.6,56.3,60.3,64.2,66.3,71.6,71.8,76.8,72.7,77.9
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Angola,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.3,1.4,1.6,1.7,1.9,2.2,2.7,3.2,3.2,4.1,4.6,5.3,5.5,6,7.9,9.2,9.3,10.2,10.7,12.8,15.3,16.4,16.7
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Argentina,41.2,39.7,40.8,42.2,44.3,44.4,47.4,50.1,49.8,48.8,46,48.7,53.7,59.3,59.8,65.1,66.9,69.5,72.1,77.7,85,86.5,80.4,89,95.3,100.4,111.2,110.7,114.9,116.6,119.7,122.9,128.9,132.7,131.3,137.6,138.8,138.8,139.5,133,139,147
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,8.6,6.1,5.5,5,5.9,5.7,5.8,5.6,5.5,5.6,5.2,5.2,5.9,6,5.6,5.5,5.5,5.4,6.2,7.1,7.6,7.4,7.4,7.4,6.9,7.4,7.4,7.3,7.5,7.4
Aruba,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9
Australia,88,93,97,98,104,111,117,123,131,139,147,148,151,155,159,164,169,174,186,192,198,212,215,214,224,216,219,230,230,234,234,241,234,230,241,230,246,250,250,250,251,247
Austria,41,41,41,41,41,43,43,39,48,49,48,49,50,51,51,54,53,55,55,58,58,59,59,56,61,63,60,61,63,64,66,60,67,62,60,60,62,66,63,71,69,66
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,18.7,18.4,16.8,16.5,16.5,15.7,16.9,17.5,17.5,18.3,18,20.4,20.7,20,22.5,20.3,20.2,18.3,17.4,19.6,21.8,21.6,23.5,22.8,23.2,23,24,24.9,24.4,26.6
Bahrain,1.6,1.7,1.9,2.1,2.3,2.8,3,3.1,3.3,3.3,3.3,3.3,3.7,4,4.3,4.3,4.7,4.7,5.4,5.6,13,14,14,15,15,18,20,20,21,21,22,23,23,24,26,27,27,27,28,31,30,32
Bangladesh,2.6,3,3.5,3.6,4.1,4.6,4.9,5.6,6.5,7,7.6,8.4,9,9.3,10,10.4,10.7,10.7,11.9,13.8,14.9,16,18.1,18.1,23.2,25.3,29.4,28.8,32,35.5,38.8,42,45.9,50.1,52.8,55.8,65.2,69.3,74.4,79.1,75.3,80.4
Barbados,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,0.9,1
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,35,31,29,23,22,24,22,25,25,24,25,25,29,29,30,30,33,28.1,33.1,30.1,29.2,29.3,32.3,32.3,31.4,32.8,36.8,38,36.6,44.1
Belgium,50.6,47.7,47.6,49.5,50.6,53.6,54.8,59.9,61.9,63.9,67,68,67.2,66.1,68.2,69.4,71.3,73.2,77.4,79.6,78.8,74.1,77.1,79,80.4,80.8,79.8,82.5,78.5,85.7,91.8,86.4,80,81,69,68,82,83,72,90,86,96
Belize,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.2,0.2,0.2,0.5,0.3,0.5,0.4,0.5,0.6,0.6,0.8,0.8,0.9,0.6,0.6
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0,0,0,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Bermuda,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6
Bhutan,0,0,0,0,0,0,0.3,1.2,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.9,1.8,1.8,1.8,1.8,1.9,2.2,2.5,2.3,2.6,4.5,6.5,6.9,6.9,7.3,7,6.7,7.5,7.2,7.7,7.9,7.7,6.9,9,9,9
Bolivia,1.6,1.7,1.6,1.7,1.5,1.5,1.6,1.6,1.9,2,2.2,2.3,2.3,2.4,2.7,2.9,3.1,3.3,3.5,3.7,3.8,3.9,4,4.2,4.4,4.7,5.1,5.6,5.6,5.9,6.4,6.9,7.3,7.6,8.1,8.7,8.8,9.2,9.4,10,9.8,10.6
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,6.3,3.2,4.1,4.3,7.2,8.5,9.3,10.2,10,10.2,10.4,10.9,12.2,12.1,12.8,11.3,14.2,15.1,16.5,14.3,13.5,16.8,15.5,15,16.6,15.8,18.5,16.3,15.9,17.2
