,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,22.22,30,22.22,30,27.27,27.27,36.36,38.46,30,27.27,27.27,30,28.57,28.57,28.57,33.33,33.33,40,40,40,40,0,14.29,33.33,33.33,33.33,25,22.22,28.57,20,20,25,12.5,18.18,16.67,9.09,15.38,15.38,16.67,18.18,12.5,12.5
Albania,19.44,18.92,16.22,13.51,13.51,13.16,10.53,6.98,5.13,5,9.68,5.41,3.03,5.71,2.63,4.55,3.39,1.96,2,1.89,2.17,2.78,5.41,1.92,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,96.97,94.81,94.38,97.92,95.24,94.83,98.36,96.3,98.59,97.9,99.34,98.16,98.84,98.36,98.96,98.9,99.48,100,99.06,99.14,100,100,100,98.94,99.32,98.41,99.4,99.43,99.22,99.17,99.54,98.97,98.88,99.47,99.5,99.69,99.55,99.16,98.89,98.96,99.04,98.84
American Samoa,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,44.44,44.44,40,40,40,40,36.36,36.36,36.36,36.36,41.67,41.67,38.46,35.71,35.71,35.71,35.71,35.71,33.33,30.77,35.71,37.5,35.29,36.84,22.73,18.52,18.75,21.88,24.39,32.61,30.19,27.27,38.33,40.51,45.65,45.16,42.16,27.1,21.88,28.1,26.83,28.14
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,53.4,52.9,49.02,47.39,42.89,40.54,44.3,43.91,60.24,63.52,45.65,51.33,52.14,47.22,41.81,47.62,55.31,48.92,52.7,63.06,58.82,49.71,48.51,52.81,59.81,58.76,57.55,64.14,66.14,63.46,66,69.16,71.37,69.33,70.07,70.49,72.05,71.33,70.25,67.67,65.47,67.35
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,65.12,31.15,36.36,62,37.29,50.88,50,41.07,45.45,46.43,28.85,26.92,28.81,28.33,25,25.45,25.45,20.37,22.58,30.99,42.11,40.54,41.89,35.14,34.78,36.49,43.24,39.73,40,43.24
Aruba,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88.89,88.89,87.5,77.78,77.78,77.78,88.89,88.89,88.89,88.89,87.5,88.89
